Dk,DE,Ck,CE,Uk,UE
,,,,78.2077,-1239.968144
,,,,78.4635,-1236.404427
,,,,78.6162,-1234.271516
,,,,78.8711,-1230.701839
,,,,79.0246,-1228.546616
,,,,79.2786,-1224.971115
,,,,79.4331,-1222.790641
,,,,79.6862,-1219.209441
,,,,79.8415,-1217.006408
,,,,80.0937,-1213.419645
,,,,80.25,-1211.191084
,,,,80.5013,-1207.598884
,,,,80.6584,-1205.347518
,,,,80.9088,-1201.750016
,,,,81.0669,-1199.472847
,,,,81.3163,-1195.871615
,,,,81.4754,-1193.568498
,,,,81.7239,-1189.962229
,,,,81.8838,-1187.635929
,,,,82.1314,-1184.024756
,,,,82.2923,-1181.672232
,,,,82.539,-1178.056283
,,,,82.7007,-1175.680329
,,,,82.9465,-1172.059738
,,,,83.1092,-1169.657285
,,,,83.354,-1166.033661
,,,,83.5177,-1163.604563
,,,,83.7616,-1159.976561
,,,,83.9261,-1157.523657
,,,,84.1691,-1153.891412
,,,,84.3346,-1151.411587
,,,,84.5766,-1147.77673
,,,,84.7431,-1145.26984
,,,,84.9842,-1141.631005
,,,,85.1515,-1139.09993
,,,,85.3917,-1135.457251
,,,,85.56,-1132.898835
,,,,85.7992,-1129.253965
,,,,85.9685,-1126.668063
,,,,86.2068,-1123.019613
,,,,86.3769,-1120.409149
,,,,86.6143,-1116.757255
,,,,86.7854,-1114.119029
,,,,87.0218,-1110.465364
,,,,87.1939,-1107.799232
,,,,87.4293,-1104.143941
,,,,87.6023,-1101.451315
,,,,87.8369,-1097.791424
,,,,88.0108,-1095.072169
,,,,88.2444,-1091.410928
,,,,88.4193,-1088.663346
,,,,88.6519,-1085.000901
,,,,88.8278,-1082.224846
,,,,89.0594,-1078.561341
,,,,89.2363,-1075.756668
,,,,89.4669,-1072.092249
,,,,89.6447,-1069.260407
,,,,89.8745,-1065.592026
,,,,90.0532,-1062.732881
,,,,90.282,-1059.063862
,,,,90.4617,-1056.175678
,,,,90.6895,-1052.506165
,,,,90.8702,-1049.588797
,,,,91.097,-1045.918936
,,,,91.2787,-1042.972239
,,,,91.5045,-1039.302174
,,,,91.6872,-1036.326003
,,,,91.912,-1032.65588
,,,,92.0957,-1029.65009
,,,,92.3195,-1025.980054
,,,,92.5042,-1022.944499
,,,,92.727,-1019.274695
,,,,92.9127,-1016.209231
,,,,93.1345,-1012.539804
,,,,93.3212,-1009.444285
,,,,93.542,-1005.775381
,,,,93.7296,-1002.651328
,,,,93.9495,-998.981425
,,,,94.1381,-995.827035
,,,,94.357,-992.157936
,,,,94.5466,-988.973063
,,,,94.7645,-985.304916
,,,,94.9552,-982.087726
,,,,95.172,-978.422362
,,,,95.3637,-975.174393
,,,,95.5795,-971.510277
,,,,95.7722,-968.231382
,,,,95.987,-964.568659
,,,,96.1807,-961.258693
,,,,96.3945,-957.597509
,,,,96.5892,-954.256327
,,,,96.802,-950.596826
,,,,96.9977,-947.224283
,,,,97.2095,-943.566611
,,,,97.4062,-940.162562
,,,,97.617,-936.506863
,,,,97.8147,-933.071164
,,,,98.0245,-929.417583
,,,,98.2232,-925.950087
,,,,98.4319,-922.300522
,,,,98.6318,-918.79758
,,,,98.8394,-915.152184
,,,,99.0403,-911.617141
,,,,99.2469,-907.974314
,,,,99.4488,-904.407025
,,,,99.6544,-900.766912
,,,,99.8573,-897.167232
,,,,100.0618,-893.531757
,,,,100.2659,-889.895977
,,,,100.4693,-886.265297
,,,,100.6744,-882.596822
,,,,100.8768,-878.969305
,,,,101.0829,-875.267988
,,,,101.2842,-871.645581
,,,,101.4915,-867.907672
,,,,101.6917,-864.290532
,,,,101.9,-860.519477
,,,,102.0992,-856.905949
,,,,102.3085,-853.101603
,,,,102.5066,-849.493658
,,,,102.7171,-845.652226
,,,,102.9141,-842.050018
,,,,103.1256,-838.174991
,,,,103.3215,-834.578684
,,,,103.5342,-830.666236
,,,,103.729,-827.075986
,,,,103.9427,-823.129638
,,,,104.1364,-819.545609
,,,,104.3513,-815.561507
,,,,104.5439,-811.983854
,,,,104.7598,-807.965547
,,,,104.9513,-804.394433
,,,,105.1684,-800.338039
,,,,105.3588,-796.773621
,,,,105.5769,-792.682717
,,,,105.7662,-789.125157
,,,,105.9855,-784.995832
,,,,106.1736,-781.447175
,,,,106.3941,-777.279255
,,,,106.5811,-773.73778
,,,,106.8026,-769.534885
,,,,106.9885,-766.000755
,,,,107.2112,-761.758932
,,,,107.3959,-758.234213
,,,,107.6198,-753.953286
,,,,107.8034,-750.436235
,,,,108.0284,-746.117948
,,,,108.2108,-742.610649
,,,,108.4369,-738.254847
,,,,108.6182,-734.755545
,,,,108.8455,-730.360132
,,,,109.0256,-726.870924
,,,,109.2541,-722.435725
,,,,109.433,-718.956784
,,,,109.6627,-714.481626
,,,,109.8404,-711.013127
,,,,110.0713,-706.497835
,,,,110.2478,-703.039952
,,,,110.4799,-698.484353
,,,,110.6552,-695.037259
,,,,110.8885,-690.441178
,,,,111.0626,-687.005047
,,,,111.2971,-682.368311
,,,,111.47,-678.943318
,,,,111.7057,-674.265751
,,,,111.8774,-670.852072
,,,,112.1143,-666.1335
,,,,112.2848,-662.731307
,,,,112.5229,-657.971557
,,,,112.6922,-654.581024
,,,,112.9315,-649.779922
,,,,113.0996,-646.401223
,,,,113.3402,-641.556579
,,,,113.507,-638.191905
,,,,113.7488,-633.305552
,,,,113.9143,-629.955094
,,,,114.1574,-625.024834
,,,,114.3217,-621.686747
,,,,114.5661,-616.712385
,,,,114.7291,-613.388882
,,,,114.9747,-608.372275
,,,,115.1364,-605.063547
,,,,115.3833,-600.002473
,,,,115.5438,-596.706653
,,,,115.792,-591.60092
,,,,115.9511,-588.322304
,,,,116.2006,-583.171726
,,,,116.3585,-579.906382
,,,,116.6093,-574.710767
,,,,116.7658,-571.463018
,,,,117.018,-566.220101
,,,,117.1731,-562.990151
,,,,117.4266,-557.701817
,,,,117.5805,-554.48569
,,,,117.8353,-549.151745
,,,,117.9878,-545.953809
,,,,118.244,-540.571966
,,,,118.3951,-537.392425
,,,,118.6526,-531.964591
,,,,118.8024,-528.801537
,,,,119.0613,-523.325407
,,,,119.2098,-520.179026
,,,,119.47,-514.656516
,,,,119.6171,-511.529124
,,,,119.8787,-505.957919
,,,,120.0244,-502.849719
,,,,120.2874,-497.229614
,,,,120.4317,-494.14081
,,,,120.6961,-488.471604
,,,,120.8389,-485.404547
,,,,121.1049,-479.681732
,,,,121.2462,-476.636639
,,,,121.5136,-470.864301
,,,,121.6535,-467.839227
,,,,121.9223,-462.017164
,,,,122.0608,-459.012312
,,,,122.3311,-453.138144
,,,,122.468,-450.158071
,,,,122.7398,-444.231585
,,,,122.8753,-441.272157
,,,,123.1486,-435.29313
,,,,123.2825,-432.358931
,,,,123.5573,-426.327152
,,,,123.6897,-423.416216
,,,,123.9661,-417.329262
,,,,124.097,-414.441806
,,,,124.3749,-408.301651
,,,,124.5042,-405.440106
,,,,124.7837,-399.244318
,,,,124.9114,-396.408918
,,,,125.1925,-390.157265
,,,,125.3186,-387.34824
,,,,125.6013,-381.040491
,,,,125.7258,-378.258074
,,,,126.0101,-371.893995
,,,,126.133,-369.138418
,,,,126.4189,-362.717778
,,,,126.5402,-359.989274
,,,,126.8277,-353.51184
,,,,126.9473,-350.812898
,,,,127.2366,-344.273919
,,,,127.3545,-341.604784
,,,,127.6454,-335.008531
,,,,127.7616,-332.369452
,,,,128.0543,-325.711145
